rank,wallet,type,backer,mau_low,mau_high,mau_note,dau,total_users_or_downloads,total_users_metric,arpu_usd_per_year,revenue_2025_usd,revenue_note,monthly_retention,dau_mau_stickiness,swap_fee_rate,chains_supported,valuation_or_status,primary_markets,data_sources
1,Trust Wallet,exchange-affiliated independent brand,Binance,60000000,115000000,"60M official-ish (CoinLaw/SQ); 115M ratex outlier",3800000,200000000,cumulative_downloads,,,not disclosed,,0.06,~95% routed via 3rd-party aggregators,70+,Binance-owned; ~35% MAU market share end-2025,"SE Asia, LatAm, Africa","CoinLaw, SQ Magazine, ratex.ai, Trust Wallet blog"
2,MetaMask,independent,ConsenSys,30000000,31700000,"30M+ MAU 2026; peak 31.7M Jan 2022",1000000,143000000,cumulative_downloads,10.8,,"cumulative $198.64M (CoinLaw) ~= $192.9M live DefiLlama API (2026-08); the circulating $325M-as-DefiLlama figure is disputed",0.65,0.03,0.875% swap; 10% staking commission,EVM + BTC + SOL(via Snaps),IPO under evaluation 2026,"US, Europe, global EVM users","CoinLaw, DefiLlama, Blockworks, Bitcoin Magazine"
3,Phantom,independent,"Sequoia-backed (Series C $150M, Jan 2025)",17000000,20000000,"~17M peak (CoinLaw); ~20M year-end (SQ)",,,,4.8,79100000,"$79.1M net; $325.89M gross protocol revenue; Jan 2025 swap volume $5.7B",,,embedded swap markup,SOL + EVM + BTC,$3B valuation,"US, India, Nigeria","CoinLaw, SQ Magazine, AInvest"
4,Binance Web3 Wallet,exchange-embedded,Binance,17000000,17000000,"17M Alpha 2.0 participants over 2025 (annual, not monthly)",,300000000,parent_exchange_registered_users,,,"Alpha 2.0 volume >$1T in 2025; daily volume peak >$5B (95.3% of top-12 wallet monitor)",,,subsidy-driven (airdrops avg $1076/user in May 2025),multi-chain + BSC focus,embedded in Binance app,global (ex-US),"Cryptonomist, Odaily, PR Newswire, CoinLaw"
5,OKX Wallet,exchange-affiliated,OKX,5000000,15000000,"5M+ Q2 2025 (CoinLaw, +20% YoY); 15M ratex",,50000000,cumulative_downloads,4.5,,not disclosed; swap/bridge activity +57% YoY,,,aggregator routing,100+,standalone app + in-exchange,"Asia, 100+ countries","CoinLaw, Business of Apps, ratex.ai"
6,Bitget Wallet,exchange-affiliated,Bitget,12000000,12000000,"12M+ MAU Aug 2025; top downloaded wallet that month",,80000000,claimed_total_users,,,not disclosed,,,aggregator + memecoin tools,70+,claimed 60M->80M users in ~6 months,"emerging markets, Asia","CoinLaw, SQ Magazine"
7,Telegram TON Wallet,social-embedded,Telegram/TON Foundation,,,MAU not disclosed; 110M+ cumulative activations,,110000000,cumulative_activations,,,not disclosed; MoonPay zero-fee onramp,,,n/a,TON only,"launched to 87M US users Jul 2025; 1000+ Mini Apps","global Telegram base (900M+)","CNBC, wallet.tg, CoinDesk"
8,Coinbase Wallet,exchange-affiliated independent app,Coinbase,3200000,70000000,"3.2M (CoinLaw, recommended); 70M ratex likely conflates main Coinbase app (120M MAU)",2300000,15000000,cumulative_installs,35,,not disclosed; highest ARPU in industry,0.68,,100% aggregator-routed swaps,multi-chain + Base,public company (COIN),"US, developed markets","CoinLaw, ratex.ai, Business of Apps"
9,SafePal,independent hardware+software,Binance Labs-invested,,,MAU not disclosed,,25000000,claimed_total_users,,,hardware sales + swap fees,,,aggregator routing,100+,127 countries / 200+ regions,"emerging markets","CoinLaw, SafePal official"
10,TokenPocket,independent,TP Global,,,MAU not disclosed,,25000000,claimed_total_users_since_2018,,,not disclosed,,,aggregator + dApp browser,multi-chain,founded 2018,"China-speaking Asia","TokenPocket official, slashdot"
11,Rabby (reference),independent,DeBank,,,"MAU not disclosed; 4.2M cumulative installs; ratex stickiness 0.41 with DAU 140K implies MAU ~340K",140000,4200000,cumulative_installs,5.7,,"Q3 2025 fees $2.32M (CoinLaw; DISPUTED - first-hand DefiLlama sums $3.92M)",,0.41,in-app fees,122 EVM chains,highest stickiness in industry,pro DeFi traders,"CoinLaw, ratex.ai"
12,Exodus (reference),independent,Exodus Movement (NYSE American: EXOD),1500000,2200000,"1.5M MAU Q2/Sep 2025; 2.2M May spike (Passkeys promo)",,,,,,public company financials,,,swap spread,multi-chain,US-listed company,"US, desktop-first","CoinLaw, company reports"
13,Zerion (reference),independent,Zerion,2000000,2000000,ratex estimate,,,,6.2,,,,,aggregator,EVM,,DeFi power users,ratex.ai
14,Safe (reference),smart-account multisig,Safe Ecosystem Foundation,1000000,1000000,ratex estimate,30000,,,,,"treasury/multisig, institutional",0.70,0.03,n/a,EVM,institutional standard,DAOs & institutions,ratex.ai
15,Backpack (reference),independent,Backpack (exchange+wallet),1000000,1000000,ratex estimate,,,,,,exchange-linked,,0.39,100% aggregator-routed,SOL + EVM,,SOL traders,ratex.ai
